loc	anim	val	additive	animate	set	animateColor	animateTransform
feComponentTransferExponentAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterElementFilterResAttribute	TRUE	<number>					
FilterElementFilterUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
FilterElementHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveHeightAttribute	TRUE	<length>	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveInAttribute	TRUE	SourceGraphic					
feComponentTransferInterceptAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK1Attribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK2Attribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK3Attribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeK4Attribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementKernelMatrixAttribute	TRUE	<list of numbers>					
feConvolveMatrixElementKernelUnitLengthAttribute	TRUE	<number>					
feDiffuseLightingKernelUnitLengthAttribute	TRUE	<number>					
feSpecularLightingKernelUnitLengthAttribute	TRUE	<number>					
feSpotLightLimitingConeAngleAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feBlendModeAttribute	TRUE	" """"normal | multiply | screen | darken | lighten"""""					
feTurbulenceNumOctavesAttribute	TRUE	<integer>	TRUE	TRUE	TRUE	FALSE	FALSE
feComponentTransferOffsetAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeOperatorAttribute	TRUE	" """"over | in | out | atop | xor | arithmetic"""""					
feMorphologyOperatorAttribute	TRUE	" """"erode | dilate"""""					
feConvolveMatrixElementOrderAttribute	TRUE	<number>					
feSpotLightPointsAtXAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightPointsAtYAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightPointsAtZAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementPreserveAlphaAttribute	TRUE	false | true					
FilterElementPrimitiveUnitsAttribute	TRUE	" """"userSpaceOnUse | objectBoundingBox"""""					
feMorphologyRadiusAttribute	TRUE	<number>					
FilterPrimitiveResultAttribute	TRUE	" """"<filter-primitive-reference>"""""					
feDisplacementMapScaleAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feTurbulenceSeedAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feComponentTransferSlopeAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpecularLightingSpecularConstantAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
feSpecularLightingSpecularExponentAttribute	TRUE	<number>	TRUE	TRUE	TRUE	FALSE	FALSE
