loc	anim	additive	animate	set	animateColor	animateTransform
feConvolveMatrixElementKernelMatrixAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementKernelUnitLengthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feDiffuseLightingKernelUnitLengthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpecularLightingKernelUnitLengthAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightLimitingConeAngleAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feBlendModeAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feTurbulenceNumOctavesAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feComponentTransferOffsetAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feCompositeOperatorAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feMorphologyOperatorAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementOrderAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightPointsAtXAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightPointsAtYAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feSpotLightPointsAtZAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feConvolveMatrixElementPreserveAlphaAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
FilterElementPrimitiveUnitsAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feMorphologyRadiusAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
FilterPrimitiveResultAttribute	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
feDisplacementMapScaleAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feTurbulenceSeedAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
feComponentTransferSlopeAttribute	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
